id,data1,data2,notes
1, Alice , 25, "User age is correct"
2, BOB, , "Missing age"
3, alice ,25, "Duplicate entry"
4, ,30, "Missing name"
5, Charlie,35, "Well formatted"
6, Bob,30, "Possible duplicate"
7,David,NaN, "Missing age value"
8, eve , 28 , "Extra spaces in fields"
9,EVA,28, "Inconsistent capitalization"
10,Frank,, "Missing age"
11,George,40, "Good data"
12,,22, "Name missing"
13,harry ,23, "Lowercase name"
14,HARRY,23, "Possible duplicate of above"
15,Ian, 29, "Extra space in age"
16,Jane,thirty, "Non-numeric age"
17,JANE,30, "Good entry"
18,Kate,31, "Well formatted"
19,leo,31, "Name should be capitalized"
20,LEO,31, "Duplicate with case issue"
